0,8876,16000,5656,2737,7315,-6338,1439902575.254307
1,9660,17960,6008,4103,1473,-912,1439902575.773102
2,5592,14860,2468,-1893,-803,-1904,1439902575.9069619
3,9084,14348,712,-162,203,-846,1439902576.0422549
4,5032,15560,1836,3918,4107,1357,1439902576.1773269
5,3512,13652,2328,2736,514,117,1439902576.312144
6,3772,13924,2832,-2011,-2303,-5127,1439902576.447238
7,1872,9140,3288,2580,9261,-5140,1439902576.5823171
8,4076,15116,5008,200,2479,-821,1439902576.717304
9,1740,22692,2908,-2515,2447,-4289,1439902576.9198179
10,-11740,24680,-76,930,1725,2486,1439902577.0549121
11,3352,17252,8044,3147,-35,11117,1439902577.189853
12,3584,18712,32,-296,3720,-3151,1439902577.324795
13,4192,25656,2792,4065,16182,-972,1439902577.460057
14,3164,24632,6004,-2617,-1713,3873,1439902577.594933
15,6124,15832,356,-10204,-27831,-6358,1439902577.7299211
16,2924,12104,612,-5321,4404,-3119,1439902577.8649089
17,3216,12336,-8,-6922,-5158,281,1439902577.9999139
18,6304,9664,2400,-6901,-9981,5624,1439902578.134902
19,9312,9408,8588,-2680,-5334,8803,1439902578.2700329
20,9284,9752,9592,-1052,1384,10014,1439902578.4049499
21,10076,8748,7872,2036,2550,8786,1439902578.5399189
22,12432,7468,8732,4179,6388,8893,1439902578.6749649
23,10888,6784,8808,4566,5906,8994,1439902578.8099639
24,12144,5160,8676,6807,6203,6710,1439902578.944803
25,11196,6112,9756,7272,14332,9036,1439902579.080121
26,6288,5708,9416,9318,8551,6730,1439902579.214916
27,6564,10120,8580,10730,3813,-3959,1439902579.3501151
28,7732,18268,10324,7581,3126,-10871,1439902579.4847479
29,4604,18040,11696,1146,9438,6454,1439902579.6199169
30,4148,13724,6704,-6794,-7889,8016,1439902579.7549601
31,8064,11224,5368,-6816,-8864,-1883,1439902579.8900411
32,8592,7548,6556,-5955,-12707,-12980,1439902580.0249691
33,10556,12208,4492,-6573,-14497,-19646,1439902580.160116
34,8224,15660,4732,-3152,-12447,-18244,1439902580.295053
35,6240,15716,5276,-1564,-13186,-6670,1439902580.4301701
36,5368,14876,3320,-1549,-16419,-1963,1439902580.5649841
37,6136,16812,4488,-1405,-13943,-2116,1439902580.7000959
38,5784,14904,6016,-4145,-12936,-951,1439902580.835062
39,7192,13884,6192,-11691,-24465,-2209,1439902580.9701681
